Stop ID,Link ID,X,Y
242604164,-22617185,739560.24,5688255.29
2719558901,376817818,739107.72,5688891.77
242604165,386450312#4,739604.8400000001,5688242.12
242604160,-22617184,739463.5700000001,5688266.24
366040455,281035804#0,739461.68,5688906.29
306988858,-28017384#0,739957.03,5688131.859999999
3615073509,-356024312#0,738628.62,5689484.29
2656590985,672420273,738861.02,5688917.72
1834068502,-361627385,740429.3300000001,5688995.05
6738952542,26185390#0,740698.96,5689680.64
242604155,-26429668#0,739039.65,5688232.27
366041315,173383320#4,739307.1100000001,5689028.359999999
6738952541,717585279#0,740786.21,5689682.4799999995
289404245,26414533,740380.15,5690198.68
1987135072,-192697438,739530.56,5689404.96
376318657,26261634#0,741550.0800000001,5689699.83
242607308,22617096#0,739274.5800000001,5688166.77
cluster_1514984133_69426261,-138203253#0,740583.52,5689995.91
242609607,22617126#5,739627.26,5687724.29
313741507,376817789,738850.5800000001,5689090.66
242604156,-22617180,739146.64,5688249.449999999
242604157,-22617182,739242.8200000001,5688258.54
242607305,22617096#1,739204.95,5688050.029999999
242604158,-22617096#0,739284.5700000001,5688261.52
242604159,-22617183,739352.81,5688263.6899999995
386045442,-33747490,742255.79,5688841.77
2299272912,-761248450,742068.65,5688316.149999999
386045440,761248440#5,742362.38,5688836.449999999
386045444,-34883746,742150.78,5688848.71
cluster_1834068508_2938209047,102323023#0,739175.8500000001,5689377.67
242612012,22617136#1,739598.27,5687246.43
242612013,22617136#2,739692.89,5687246.85
242612016,-22617163,739916.03,5687207.76
242613469,-22617141#0,739966.73,5687283.529999999
242615646,22617153,739705.02,5687006.49
242612014,22617136#3,739789.0900000001,5687234.449999999
242612015,22617136#4,739864.68,5687220.71
367993755,-252905715,739681.21,5689352.14
307650917,251388156#0,740231.51,5688712.109999999
242605230,-22617114,739111.28,5687804.359999999
242612018,22617163,739931.3600000001,5687141.79
291585094,26588430,740570.0700000001,5688630.569999999
cluster_310817137_3615073508,-489041713#0,738633.22,5689498.58
365120468,32474365#0,739843.6100000001,5688977.14
2302944555,-221248644,738870.37,5689351.13
242605235,-22617176#0,739015.25,5688529.3
1639290456,761248450,742344.74,5688287.4399999995
2105519040,-200583544,741603.01,5688874.43
242613471,22617141#1,739894.8,5687793.75
242612020,-22617164,740040.8500000001,5687157.76
242613470,22617141#0,739910.45,5687680.699999999
2186966394,-208402189,739480.49,5687592.41
287636113,-177914618,741521.5,5690511.81
287636112,26262469#0,741514.29,5690399.01
242612021,-22617165,740135.95,5687182.62
242612022,1013399806#1,740231.24,5687207.4399999995
309210093,28017384#0,740036.0700000001,5688192.359999999
289404462,-26414614#0,740366.8600000001,5690159.39
365120470,-32474413,739898.5900000001,5689005.06
735275256,59295373,739981.99,5689336.58
289567516,173383320#1,739209.2,5689039.25
365120472,-32474395,739889.98,5689023.319999999
242605228,-22617190,739155.73,5687584.81
1408551390,672562812#0,738820.37,5689347.62
242605229,-22617117,739133.42,5687693.72
69438175,-26187114,740532.05,5690590.05
1854399759,-26588307#0,740839.79,5688367.029999999
1854399757,290267263,740904.91,5688039.43
2389967172,112355885,738433.81,5687953.59
3660613943,-32703574#0,739688.5800000001,5689268.779999999
3975866771,356024312#0,738669.24,5689421.77
336760979,-18950219,738546.99,5688138.859999999
287625125,26261823#0,740648.7,5690491.02
313745912,173383320#0,739113.16,5689004.31
5211018051,-538353126,739044.71,5689601.09
9114001361,4086300#2,739028.47,5687771.37
287606312,26261408,740892.3200000001,5689527.97
cluster_242618348_242619281,22617176#0,739115.29,5688537.949999999
69417077,264308027,741233.4,5689606.39
cluster_5208531508_5208531509,-537994670,738943.44,5689376.18
250303850,363097549#3,741889.47,5689387.449999999
289172525,-264741339,738854.13,5689020.92
2570226898,250612720,741563.46,5690142.74
291583716,26588317#0,741033.02,5688281.4799999995
4305470624,-26429839#0,739976.72,5686940.76
289567561,173383320#6,739364.16,5688914.06
2570226892,-250612720,741508.12,5690152.62
9582415655,688100985,739040.56,5687715.609999999
